curv_id,curv_name,default_flag,pct_usage_0,pct_usage_1,pct_usage_2,pct_usage_3,pct_usage_4,pct_usage_5,pct_usage_6,pct_usage_7,pct_usage_8,pct_usage_9,pct_usage_10,pct_usage_11,pct_usage_12,pct_usage_13,pct_usage_14,pct_usage_15,pct_usage_16,pct_usage_17,pct_usage_18,pct_usage_19,pct_usage_20
10,Back Loaded,Y,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
12,Front Loaded,Y,0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
13,Linear,Y,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,Triangular Increase,Y,0,1,1,1.5,1.5,3,3,3.5,3.5,4.5,4.5,5.5,5.5,6.5,6.5,7,7,8.5,8.5,9,9
1405,Left Loaded,N,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,Center Loaded,N,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0
